Question,Correct_Answer,Incorrect_Answer_1,Incorrect_Answer_2,Incorrect_Answer_3
"5 + 3 等于多少？","8","6","7","9"
"我们住在哪个星球上？","地球","火星","木星","金星"
"美国的首都是哪里？","华盛顿特区","佛罗里达","纽约","加利福尼亚"
"蜘蛛有多少条腿？","8","6","10","12"
"大的反义词是什么？","小","高","长","宽"
"哪种动物被称为人类最好的朋友？","狗","猫","鸟","鱼"
"红宝石是什么颜色？","红色","蓝色","绿色","黄色"
"一周有多少天？","7","5","6","8"
"植物生长需要什么？","阳光","书","玩具","音乐"
"10 - 4 等于多少？","6","5","7","8"
"夏天之后的季节是什么？","秋天","春天","冬天","夏天"
"停车标志的形状是什么？","八边形","圆形","三角形","正方形"
"一年有多少个月？","12","10","11","13"
"蜜蜂制造什么？","蜂蜜","牛奶","奶酪","果汁"
"我们银河系的名字是什么？","银河系","仙女座","螺旋","星爆"
"哪种鸟不会飞？","企鹅","鹰","麻雀","猫头鹰"
"最大的大陆是什么？","亚洲","非洲","澳大利亚","欧洲"
"三角形有多少条边？","3","2","4","5"
"你在黑板上用什么写字？","粉笔","钢笔","铅笔","马克笔"
"雨的味道是什么样的？","甜的","酸的","苦的","咸的"
